bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
"BankMeridian, N.A.",1320 MAIN STREET,COLUMBIA,SC,29201,58222,29-Jul-11,SCBT National Association,34.0029518,-81.0342564,7,2011,201107,239.8,215.5
Virginia Business Bank,"9020 STONY POINT PARKWAY, SUITE 225",RICHMOND,VA,23235,58283,29-Jul-11,Xenith Bank,37.554119,-77.568436,7,2011,201107,95.8,85
Bank of Whitman,201 SOUTH MAIN STREET,COLFAX,WA,99111,22528,5-Aug-11,Columbia State Bank,46.8797611,-117.3647017,8,2011,201108,548.6,515.7
Bank of Shorewood,700 WEST JEFFERSON STREET,SHOREWOOD,IL,60404,22637,5-Aug-11,Heartland Bank and Trust Company,41.52293,-88.204758,8,2011,201108,110.7,104
The First National Bank of Olathe,444 EAST SANTA FE,OLATHE,KS,66061,4744,12-Aug-11,Enterprise Bank & Trust,38.8843536,-94.8132248,8,2011,201108,538.1,524.3
Public Savings Bank,2755 PHILMONT AVENUE,HUNTINGDON VALLEY,PA,19006,34130,18-Aug-11,"Capital Bank, N.A.",40.1218376,-75.0478058,8,2011,201108,46.8,45.8
Lydian Private Bank,180 Royal Palm Way,Palm Beach,FL,33480,35356,19-Aug-11,"Sabadell United Bank, N.A.",26.705202,-80.036163,8,2011,201108,1700,1240
First Southern National Bank,201 SOUTH MAIN STREET,STATESBORO,GA,30458,57239,19-Aug-11,Heritage Bank of the South,32.4447594,-81.7844315,8,2011,201108,164.6,159.7
First Choice Bank,1900 WEST STATE STREET,GENEVA,IL,60134,57212,19-Aug-11,Inland Bank & Trust,41.8970134,-88.3307286,8,2011,201108,141,137.2
Patriot Bank of Georgia,2555 PEACHTREE PARKWAY SUITE 270,CUMMING,GA,30041,58273,2-Sep-11,Georgia Commerce Bank,34.0983238,-84.1765289,9,2011,201109,150.8,111.2
CreekSide Bank,10917 HIGHWAY 92 SUITE 130,WOODSTOCK,GA,30188,58226,2-Sep-11,Georgia Commerce Bank,34.087112,-84.505501,9,2011,201109,102.3,96.6
The First National Bank of Florida,"428 CAROLINE STREET, S.W.",MILTON,FL,32572,25155,9-Sep-11,CharterBank,30.6168785,-87.0519257,9,2011,201109,296.8,280.1
Bank of the Commonwealth,403 BOUSH STREET,NORFOLK,VA,23510,20408,23-Sep-11,Southern Bank and Trust Company,36.852272,-76.291237,9,2011,201109,985.1,901.8
Citizens Bank of Northern California,"305 RAILROAD AVENUE, SUITE 1",NEVADA CITY,CA,95959,33983,23-Sep-11,Tri Counties Bank,39.259296,-121.017311,9,2011,201109,288.8,253.1
First International Bank,"1912 AVENUE K, SUITE 100",PLANO,TX,75074,33513,30-Sep-11,American First National Bank,33.026722,-96.698212,9,2011,201109,239.9,208.8
The RiverBank,26777 FALLBROOK AVENUE,WYOMING,MN,55092,10216,7-Oct-11,Central Bank,45.336838,-93.000671,10,2011,201110,417.4,379.3
Sun Security Bank,400 EAST WALNUT,ELLINGTON,MO,63638,20115,7-Oct-11,Great Southern Bank,37.242794,-90.9553452,10,2011,201110,355.9,290.4
First State Bank,16 COMMERCE DRIVE,CRANFORD,NJ,7016,58046,14-Oct-11,Northfield Bank,40.64558,-74.286583,10,2011,201110,204.4,201.2
Piedmont Community Bank,110 BILL CONN PARKWAY,GRAY,GA,31032,57256,14-Oct-11,State Bank and Trust Company,33.0039711,-83.5470591,10,2011,201110,201.7,181.4
Country Bank,1308 SOUTHEAST 4TH STREET,ALEDO,IL,61231,35395,14-Oct-11,Blackhawk Bank & Trust,41.1987787,-90.7344948,10,2011,201110,190.6,167.5
"Blue Ridge Savings Bank, Inc.",20 SOUTH PACK SQUARE,ASHEVILLE,NC,28801,32347,14-Oct-11,Bank of North Carolina,35.5950802,-82.5507921,10,2011,201110,161,158.7
Community Banks of Colorado,5570 DTC PARKWAY,GREENWOOD VILLAGE,CO,80111,21132,21-Oct-11,"Bank Midwest, N.A.",39.61618,-104.893654,10,2011,201110,1380,1330
Old Harbor Bank,"2605 ENTERPRISE ROAD EAST, SUITE 100",CLEARWATER,FL,33759,57537,21-Oct-11,1st United Bank,28.009922,-82.728279,10,2011,201110,215.9,217.8
Decatur First Bank,1120 COMMERCE DRIVE,DECATUR,GA,30030,34392,21-Oct-11,Fidelity Bank,33.777081,-84.299095,10,2011,201110,191.5,179.2
Community Capital Bank,2236 MT. ZION ROAD,JONESBORO,GA,30236,57036,21-Oct-11,State Bank and Trust Company,33.5593491,-84.3179092,10,2011,201110,181.2,166.2
All American Bank,9380 WEST BALLARD ROAD,DES PLAINES,IL,600164904,57759,28-Oct-11,International Bank of Chicago,42.0432964,-87.8595335,10,2011,201110,37.8,33.4
SunFirst Bank,120 EAST SAINT GEORGE BOULEVARD,SAINT GEORGE,UT,84770,57087,4-Nov-11,Cache Valley Bank,37.10979,-113.5806023,11,2011,201111,198.1,169.1
"Mid City Bank, Inc.",304 SOUTH 42ND STREET,OMAHA,NE,68131,19397,4-Nov-11,Premier Bank,41.257542,-95.976051,11,2011,201111,106.1,105.5
Community Bank of Rockmart,1400 NATHAN DEAN PARKWAY,ROCKMART,GA,30153,57860,10-Nov-11,Century Bank of Georgia,33.9663696,-84.995079,11,2011,201111,62.4,55.9
Central Progressive Bank,29092 KRENTEL ROAD,LACOMBE,LA,70445,19657,18-Nov-11,First NBC Bank,30.356036,-89.9182966,11,2011,201111,383.1,347.7
Polk County Bank,5601 MERLE HAY ROAD,JOHNSTON,IA,50131,14194,18-Nov-11,Grinnell State Bank,41.662521,-93.696983,11,2011,201111,91.6,82
Western National Bank,"2525 EAST CAMELBACK ROAD, SUITE 100",PHOENIX,AZ,85016,57917,16-Dec-11,Washington Federal,33.508739,-112.027138,12,2011,201112,162.9,144.5
Premier Community Bank of the Emerald Coast,345 EAST JAMES LEE BOULEVARD,CRESTVIEW,FL,32539,58343,16-Dec-11,Summit Bank,30.7616844,-86.5692062,12,2011,201112,126,112.1
The First State Bank,P O BOX 928,STOCKBRIDGE,GA,30281,19252,20-Jan-12,Hamilton State Bank,33.5551491,-84.1874695,1,2012,201201,536.9,527.5
Central Florida State Bank,11800 SOUTH U.S. HWY 441,BELLEVIEW,FL,34420,57186,20-Jan-12,"CenterState Bank of Florida, N.A.",29.050995,-82.03878,1,2012,201201,79.1,77.7
American Eagle Savings Bank,3915 Chichester Avenue,Boothwyn,PA,19061,31581,20-Jan-12,"Capital Bank, N.A.",39.843723,-75.443443,1,2012,201201,19.6,17.7
Tennessee Commerce Bank,381 MALLORY STATION ROAD SUITE 207,FRANKLIN,TN,37067,35296,27-Jan-12,Republic Bank & Trust Company,35.952194,-86.822044,1,2012,201201,1185,1156
First Guaranty Bank and Trust Company of Jacksonville,1234 KING STREET,JACKSONVILLE,FL,32204,16579,27-Jan-12,"CenterState Bank of Florida, N.A.",30.3116957,-81.6945431,1,2012,201201,377.9,349.5
BankEast,607 MARKET STREET,KNOXVILLE,TN,37902,19869,27-Jan-12,"U.S. Bank, N.A.",35.963539,-83.918938,1,2012,201201,272.6,268.8
Patriot Bank Minnesota,19810 HEADWATERS BOULEVARD,FOREST LAKE,MN,55025,34823,27-Jan-12,First Resource Bank,45.2364763,-92.986106,1,2012,201201,111.3,108.3
SCB Bank,29 E Washington Street,Shelbyville,IN,46176,29761,10-Feb-12,"First Merchants Bank, National Association",39.524036,-85.776146,2,2012,201202,182.6,171.6
Charter National Bank and Trust,2200 WEST HIGGINS ROAD,HOFFMAN ESTATES,IL,60169,23187,10-Feb-12,"Barrington Bank & Trust Company, National Association",42.056828,-88.133736,2,2012,201202,93.9,89.5
Home Savings of America,35 East Broadway,Little Falls,MN,56345,29178,24-Feb-12,No Acquirer,45.9771156,-94.365181,2,2012,201202,434.1,432.2
Central Bank of Georgia,285 SOUTH BROAD STREET,ELLAVILLE,GA,31806,5687,24-Feb-12,Ameris Bank,32.2340684,-84.308734,2,2012,201202,278.9,266.6
Global Commerce Bank,5150 BUFORD HIGHWAY,DORAVILLE,GA,30340,34046,2-Mar-12,Metro City Bank,33.89254,-84.28524,3,2012,201203,143.7,116.8
New City Bank,900 SOUTH MICHIGAN AVENUE,CHICAGO,IL,60605,57597,9-Mar-12,No Acquirer,41.870361,-87.624878,3,2012,201203,71.2,72.4
Premier Bank,1210 CENTRAL AVENUE,WILMETTE,IL,60091,35419,23-Mar-12,International Bank of Chicago,42.076508,-87.709663,3,2012,201203,268.7,199
Covenant Bank & Trust,122 HIGHWAY 95,ROCK SPRING,GA,30739,58068,23-Mar-12,"Stearns Bank, N.A.",34.8190098,-85.2393452,3,2012,201203,95.7,90.6
Fidelity Bank,22290 MICHIGAN AVENUE,DEARBORN,MI,48124,33883,30-Mar-12,The Huntington National Bank,42.3050022,-83.2493842,3,2012,201203,818.2,747.6
"Fort Lee Federal Savings Bank, FSB",817 Abbott Blvd,Fort Lee,NJ,7024,35527,20-Apr-12,Alma Bank,40.8313275,-73.9827497,4,2012,201204,51.9,50.7
Plantation Federal Bank,11039 Ocean Highway,Pawleys Island,SC,29585,32503,27-Apr-12,First Federal Bank,33.445126,-79.1226574,4,2012,201204,486.4,440.5
"Inter Savings Bank, fsb D/B/A InterBank, fsb","13601 80th Circle North, Suite 100",Maple Grove,MN,55369,31495,27-Apr-12,Great Southern Bank,45.099926,-93.453278,4,2012,201204,481.6,473
Bank of the Eastern Shore,301 CRUSADER ROAD,CAMBRIDGE,MD,21613,26759,27-Apr-12,No Acquirer,38.5653263,-76.06221,4,2012,201204,166.7,154.5
HarVest Bank of Maryland,9707 MEDICAL CENTER DRIVE SUITE 150,ROCKVILLE,MD,20850,57766,27-Apr-12,Sonabank,39.0993796,-77.1951811,4,2012,201204,164.3,145.5
Palm Desert National Bank,73-745 EL PASEO,PALM DESERT,CA,92260,23632,27-Apr-12,Pacific Premier Bank,33.7197418,-116.3973465,4,2012,201204,125.8,122.8
"Security Bank, National Association",1450 SOUTH STATE ROAD 7,NORTH LAUDERDALE,FL,33068,23156,4-May-12,Banesco USA,26.21067,-80.203583,5,2012,201205,101,99.1
"Alabama Trust Bank, National Association",101 WEST FORT WILLIAMS STREET,SYLACAUGA,AL,35150,35224,18-May-12,Southern States Bank,33.1672653,-86.2524638,5,2012,201205,51.6,45.1
Waccamaw Bank,110 NORTH J.K. POWELL BLVD,WHITEVILLE,NC,28472,34515,8-Jun-12,First Community Bank,34.329967,-78.707275,6,2012,201206,533.1,472.7
Carolina Federal Savings Bank,"4 Carriage Lane, Suite 101",Charleston,SC,29407,35372,8-Jun-12,Bank of North Carolina,32.797558,-79.996445,6,2012,201206,54.4,53.1
First Capital Bank,601 SOUTH MAIN STREET,KINGFISHER,OK,73750,416,8-Jun-12,F & M Bank,35.855353,-97.9325822,6,2012,201206,46.1,44.8
Farmers' and Traders' State Bank,203 W COMANCHE AVENUE,SHABBONA,IL,60550,9257,8-Jun-12,First State Bank,41.7679448,-88.8737646,6,2012,201206,43.1,42.3
Putnam State Bank,350 STATE ROAD 19 NORTH,PALATKA,FL,32077,27405,15-Jun-12,Harbor Community Bank,29.6518459,-81.6729965,6,2012,201206,169.5,160
The Farmers Bank of Lynchburg,"71 MECHANIC STREET, SOUTH",LYNCHBURG,TN,37352,1690,15-Jun-12,Clayton Bank and Trust,35.2829132,-86.3726273,6,2012,201206,163.9,156.4
Security Exchange Bank,833 SOUTH COBB DRIVE,MARIETTA,GA,30060,35299,15-Jun-12,Fidelity Bank,33.932076,-84.547234,6,2012,201206,151,147.9
Montgomery Bank & Trust,125 SOUTH LEE STREET,AILEY,GA,30410,19498,6-Jul-12,Ameris Bank,32.1862011,-82.5652821,7,2012,201207,173.6,164.4
