bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
Downey Savings & Loan,3501 Jamboree Rd,Newport Beach,CA,92660,30968,21-Nov-08,"U.S. Bank, N.A.",33.654854,-117.866524,11,2008,200811,12800,9700
PFF Bank & Trust,399 North Garey Avenue,Pomona,CA,91767,28344,21-Nov-08,"U.S. Bank, N.A.",34.060799,-117.751091,11,2008,200811,3700,2400
Community Bank,4581 ATLANTA HIGHWAY,LOGANVILLE,GA,30249,16490,21-Nov-08,Bank of Essex,33.8348564,-83.8953888,11,2008,200811,681,611.4
First Georgia Community Bank,150 COVINGTON STREET,JACKSON,GA,30233,34301,5-Dec-08,United Bank,33.2955902,-83.9616019,12,2008,200812,237.5,197.4
Haven Trust Bank,6340 SUGARLOAF PARKWAY SUITE 100,DULUTH,GA,30097,35379,12-Dec-08,"Branch Banking & Trust Company, (BB&T)",33.9906337,-84.0896827,12,2008,200812,572,515
Sanderson State Bank,216 W. OAK STREET,SANDERSON,TX,79848,11568,12-Dec-08,The Pecos County State Bank,30.1414318,-102.3988766,12,2008,200812,37,27.9
Bank of Clark County,"1400 WASHINGTON STREET, SUITE 200",VANCOUVER,WA,98660,34959,16-Jan-09,Umpqua Bank,45.632191,-122.673256,1,2009,200901,446.5,366.5
National Bank of Commerce,5500 SAINT CHARLES ROAD,BERKELEY,IL,60163,19733,16-Jan-09,Republic Bank of Chicago,41.889702,-87.907227,1,2009,200901,430.9,402.1
1st Centennial Bank,218 EAST STATE STREET,REDLANDS,CA,92373,33025,23-Jan-09,First California Bank,34.056156,-117.179878,1,2009,200901,803.3,676.9
Suburban FSB,2120 Baldwin Avenue,Crofton,MD,21114,30763,30-Jan-09,Bank of Essex,38.9916687,-76.6948471,1,2009,200901,360,302
MagnetBank,"2825 EAST COTTONWOOD PARKWAY, SUITE 180",SALT LAKE CITY,UT,84121,58001,30-Jan-09,No Acquirer,40.6340027,-111.8123398,1,2009,200901,292.2,282.8
Ocala National Bank,3001 SOUTHEAST MARICAMP ROAD,OCALA,FL,34471,26538,30-Jan-09,"CenterState Bank of Florida, N.A.",29.166431,-82.096466,1,2009,200901,223.5,205.2
County Bank,550 WEST MAIN STREET,MERCED,CA,95340,22574,6-Feb-09,Westamerica Bank,37.3016893,-120.4841269,2,2009,200902,1700,1300
Alliance Bank,"100 CORPORATE POINTE, SUITE 110",CULVER CITY,CA,90230,23124,6-Feb-09,California Bank & Trust,33.98843,-118.381325,2,2009,200902,1140,951
FirstBank Financial Services,120 KEYS FERRY STREET,MCDONOUGH,GA,30253,57017,6-Feb-09,Regions Bank,33.447311,-84.143204,2,2009,200902,337,279
Riverside Bank of the Gulf Coast,2107 SANTA BARBARA BOULEVARD,CAPE CORAL,FL,33991,34563,13-Feb-09,TIB Bank,26.6134431,-81.97415,2,2009,200902,539,424
